% time	cellId	IMSI	RNTI	rsrp	sinr	ComponentCarrierId
0.0242143	3	1	3	0.00333333	7.02728e+12	2
0.0252143	1	1	3	0.00333333	7.02728e+12	0
0.0252143	1	2	1	0.00333333	7.02728e+12	0
0.0252143	1	3	2	0.00333333	7.02728e+12	0
0.0252143	2	2	1	0.00333333	7.02728e+12	1
0.0252143	2	3	2	0.00333333	7.02728e+12	1
0.0252143	2	1	3	0.00333333	7.02728e+12	1
0.0252143	3	2	1	0.00333333	7.02728e+12	2
0.0252143	3	3	2	0.00333333	7.02728e+12	2
0.0252143	3	1	3	0.00333333	7.02728e+12	2
0.0262143	1	1	3	0.00333333	7.02728e+12	0
0.0262143	1	2	1	0.00333333	7.02728e+12	0
0.0262143	1	3	2	0.00333333	7.02728e+12	0
0.0262143	2	2	1	0.00333333	7.02728e+12	1
0.0262143	2	3	2	0.00333333	7.02728e+12	1
0.0262143	2	1	3	0.00333333	7.02728e+12	1
0.0262143	3	2	1	0.00333333	7.02728e+12	2
0.0262143	3	3	2	0.00333333	7.02728e+12	2
0.0262143	3	1	3	0.00333333	7.02728e+12	2
0.0272143	1	1	3	0.00333333	7.02728e+12	0
0.0272143	1	2	1	0.00333333	7.02728e+12	0
0.0272143	1	3	2	0.00333333	7.02728e+12	0
0.0272143	2	2	1	0.00333333	7.02728e+12	1
0.0272143	2	3	2	0.00333333	7.02728e+12	1
0.0272143	2	1	3	0.00333333	7.02728e+12	1
0.0272143	3	2	1	0.00333333	7.02728e+12	2
0.0272143	3	3	2	0.00333333	7.02728e+12	2
0.0272143	3	1	3	0.00333333	7.02728e+12	2
0.0282143	1	1	3	0.00333333	7.02728e+12	0
0.0282143	1	2	1	0.00333333	7.02728e+12	0
0.0282143	1	3	2	0.00333333	7.02728e+12	0
0.0282143	2	2	1	0.00333333	7.02728e+12	1
0.0282143	2	3	2	0.00333333	7.02728e+12	1
0.0282143	2	1	3	0.00333333	7.02728e+12	1
0.0282143	3	2	1	0.00333333	7.02728e+12	2
0.0282143	3	3	2	0.00333333	7.02728e+12	2
0.0282143	3	1	3	0.00333333	7.02728e+12	2
0.0292143	1	1	3	0.00333333	7.02728e+12	0
0.0292143	1	2	1	0.00333333	7.02728e+12	0
0.0292143	1	3	2	0.00333333	7.02728e+12	0
0.0292143	2	2	1	0.00333333	7.02728e+12	1
0.0292143	2	3	2	0.00333333	7.02728e+12	1
0.0292143	2	1	3	0.00333333	7.02728e+12	1
0.0292143	3	2	1	0.00333333	7.02728e+12	2
0.0292143	3	3	2	0.00333333	7.02728e+12	2
0.0292143	3	1	3	0.00333333	7.02728e+12	2
0.0302143	1	1	3	0.00333333	7.02728e+12	0
0.0302143	1	2	1	0.00333333	7.02728e+12	0
0.0302143	1	3	2	0.00333333	7.02728e+12	0
0.0302143	2	2	1	0.00333333	7.02728e+12	1
0.0302143	2	3	2	0.00333333	7.02728e+12	1
0.0302143	2	1	3	0.00333333	7.02728e+12	1
0.0302143	3	2	1	0.00333333	7.02728e+12	2
0.0302143	3	3	2	0.00333333	7.02728e+12	2
0.0302143	3	1	3	0.00333333	7.02728e+12	2
0.0312143	1	1	3	0.00333333	7.02728e+12	0
0.0312143	1	2	1	0.00333333	7.02728e+12	0
0.0312143	1	3	2	0.00333333	7.02728e+12	0
0.0312143	2	2	1	0.00333333	7.02728e+12	1
0.0312143	2	3	2	0.00333333	7.02728e+12	1
0.0312143	2	1	3	0.00333333	7.02728e+12	1
0.0312143	3	2	1	0.00333333	7.02728e+12	2
0.0312143	3	3	2	0.00333333	7.02728e+12	2
0.0312143	3	1	3	0.00333333	7.02728e+12	2
0.0322143	1	1	3	0.00333333	7.02728e+12	0
0.0322143	1	2	1	0.00333333	7.02728e+12	0
0.0322143	1	3	2	0.00333333	7.02728e+12	0
0.0322143	2	2	1	0.00333333	7.02728e+12	1
0.0322143	2	3	2	0.00333333	7.02728e+12	1
0.0322143	2	1	3	0.00333333	7.02728e+12	1
0.0322143	3	2	1	0.00333333	7.02728e+12	2
0.0322143	3	3	2	0.00333333	7.02728e+12	2
0.0322143	3	1	3	0.00333333	7.02728e+12	2
0.0332143	1	1	3	0.00333333	7.02728e+12	0
0.0332143	1	2	1	0.00333333	7.02728e+12	0
0.0332143	1	3	2	0.00333333	7.02728e+12	0
0.0332143	2	2	1	0.00333333	7.02728e+12	1
0.0332143	2	3	2	0.00333333	7.02728e+12	1
0.0332143	2	1	3	0.00333333	7.02728e+12	1
0.0332143	3	2	1	0.00333333	7.02728e+12	2
0.0332143	3	3	2	0.00333333	7.02728e+12	2
0.0332143	3	1	3	0.00333333	7.02728e+12	2
0.0342143	1	1	3	0.00333333	7.02728e+12	0
0.0342143	1	2	1	0.00333333	7.02728e+12	0
0.0342143	1	3	2	0.00333333	7.02728e+12	0
0.0342143	2	2	1	0.00333333	7.02728e+12	1
0.0342143	2	3	2	0.00333333	7.02728e+12	1
0.0342143	2	1	3	0.00333333	7.02728e+12	1
0.0342143	3	2	1	0.00333333	7.02728e+12	2
0.0342143	3	3	2	0.00333333	7.02728e+12	2
0.0342143	3	1	3	0.00333333	7.02728e+12	2
0.0352143	1	1	3	0.00333333	7.02728e+12	0
0.0352143	1	2	1	0.00333333	7.02728e+12	0
0.0352143	1	3	2	0.00333333	7.02728e+12	0
0.0352143	2	2	1	0.00333333	7.02728e+12	1
0.0352143	2	3	2	0.00333333	7.02728e+12	1
0.0352143	2	1	3	0.00333333	7.02728e+12	1
0.0352143	3	2	1	0.00333333	7.02728e+12	2
0.0352143	3	3	2	0.00333333	7.02728e+12	2
