% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
40	3	2	1	0	0	26	0	1	2
40	3	3	2	0	0	26	0	1	2
40	3	1	3	0	0	26	0	1	2
41	1	1	3	0	28	749	0	1	0
41	1	2	1	0	28	749	0	1	0
41	1	3	2	0	28	749	0	1	0
41	2	2	1	0	0	26	0	1	1
41	2	3	2	0	0	26	0	1	1
41	2	1	3	0	0	26	0	1	1
41	3	2	1	0	0	26	0	1	2
41	3	3	2	0	0	26	0	1	2
41	3	1	3	0	0	26	0	1	2
42	1	1	3	0	28	749	0	1	0
42	1	2	1	0	28	749	0	1	0
42	1	3	2	0	28	749	0	1	0
42	2	2	1	0	0	26	0	1	1
42	2	3	2	0	0	26	0	1	1
42	2	1	3	0	0	26	0	1	1
42	3	2	1	0	0	26	0	1	2
42	3	3	2	0	0	26	0	1	2
42	3	1	3	0	0	26	0	1	2
43	1	1	3	0	28	749	0	1	0
43	1	2	1	0	28	749	0	1	0
43	1	3	2	0	28	749	0	1	0
43	2	2	1	0	0	26	0	1	1
43	2	3	2	0	0	26	0	1	1
43	2	1	3	0	0	26	0	1	1
43	3	2	1	0	0	26	0	1	2
43	3	3	2	0	0	26	0	1	2
43	3	1	3	0	0	26	0	1	2
44	1	1	3	0	28	749	0	1	0
44	1	2	1	0	28	749	0	1	0
44	1	3	2	0	28	749	0	1	0
44	2	2	1	0	0	26	0	1	1
44	2	3	2	0	0	26	0	1	1
44	2	1	3	0	0	26	0	1	1
44	3	2	1	0	0	26	0	1	2
44	3	3	2	0	0	26	0	1	2
44	3	1	3	0	0	26	0	1	2
45	1	1	3	0	28	749	0	1	0
45	1	2	1	0	28	749	0	1	0
45	1	3	2	0	28	749	0	1	0
45	2	2	1	0	0	26	0	1	1
45	2	3	2	0	0	26	0	1	1
45	2	1	3	0	0	26	0	1	1
45	3	2	1	0	0	26	0	1	2
45	3	3	2	0	0	26	0	1	2
45	3	1	3	0	0	26	0	1	2
46	1	1	3	0	28	749	0	1	0
46	1	2	1	0	28	749	0	1	0
46	1	3	2	0	28	749	0	1	0
46	2	2	1	0	0	26	0	1	1
46	2	3	2	0	0	26	0	1	1
46	2	1	3	0	0	26	0	1	1
46	3	2	1	0	0	26	0	1	2
46	3	3	2	0	0	26	0	1	2
46	3	1	3	0	0	26	0	1	2
47	1	1	3	0	28	749	0	1	0
47	1	2	1	0	28	749	0	1	0
47	1	3	2	0	28	749	0	1	0
47	2	2	1	0	28	749	0	1	1
47	2	3	2	0	0	26	0	1	1
47	2	1	3	0	0	26	0	1	1
47	3	2	1	0	28	749	0	1	2
47	3	3	2	0	0	26	0	1	2
47	3	1	3	0	0	26	0	1	2
48	1	1	3	0	28	749	0	1	0
48	1	2	1	0	28	749	0	1	0
48	1	3	2	0	28	749	0	1	0
48	2	2	1	0	28	749	0	1	1
48	2	3	2	0	28	749	0	1	1
48	2	1	3	0	0	26	0	1	1
48	3	2	1	0	28	749	0	1	2
48	3	3	2	0	28	749	0	1	2
48	3	1	3	0	0	26	0	1	2
49	1	1	3	0	28	749	0	1	0
49	1	2	1	0	28	749	0	1	0
49	1	3	2	0	28	749	0	1	0
49	2	2	1	0	28	749	0	1	1
49	2	3	2	0	28	749	0	1	1
49	2	1	3	0	28	749	0	1	1
49	3	2	1	0	28	749	0	1	2
49	3	3	2	0	28	749	0	1	2
49	3	1	3	0	28	749	0	1	2
50	1	1	3	0	28	749	0	1	0
50	1	2	1	0	28	749	0	1	0
50	1	3	2	0	28	749	0	1	0
50	2	2	1	0	28	749	0	1	1
50	2	3	2	0	28	749	0	1	1
50	2	1	3	0	28	749	0	1	1
50	3	2	1	0	28	749	0	1	2
50	3	3	2	0	28	749	0	1	2
50	3	1	3	0	28	749	0	1	2
51	1	1	3	0	28	749	0	1	0
51	1	2	1	0	28	749	0	1	0
51	1	3	2	0	28	749	0	1	0
51	2	2	1	0	28	749	0	1	1
51	2	3	2	0	28	749	0	1	1
51	2	1	3	0	28	749	0	1	1
51	3	2	1	0	28	749	0	1	2
51	3	3	2	0	28	749	0	1	2
51	3	1	3	0	28	749	0	1	2
52	1	1	3	0	28	749	0	1	0
52	1	2	1	0	28	749	0	1	0
52	1	3	2	0	28	749	0	1	0
52	2	2	1	0	28	749	0	1	1
52	2	3	2	0	28	749	0	1	1
52	2	1	3	0	28	749	0	1	1
52	3	2	1	0	28	749	0	1	2
52	3	3	2	0	28	749	0	1	2
52	3	1	3	0	28	749	0	1	2
53	1	1	3	0	28	749	0	1	0
53	1	2	1	0	28	749	0	1	0
53	1	3	2	0	28	749	0	1	0
53	2	2	1	0	28	749	0	1	1
53	2	3	2	0	28	749	0	1	1
53	2	1	3	0	28	749	0	1	1
